tour,percent,rows,base,slope,kappa,markov_accuracy,serve_shrink_accuracy,residual_accuracy,markov_val_logloss,serve_shrink_val_logloss,residual_val_logloss
WTA,45,3724,0.59,9e-05,160,0.7805383022774327,0.7867494824016563,0.8115942028985508,0.5140943547368911,0.5091431993138051,0.4047674776706921
ATP,50,4172,0.59,0.00013,320,0.7839506172839507,0.7942386831275721,0.8168724279835391,0.39055657647467046,0.38358012467118086,0.31945449550073796
WTA,50,3724,0.65,0.00013,80,0.7950310559006211,0.8074534161490683,0.8240165631469979,0.45897786278540786,0.4441518076057751,0.3503039345062987
ATP,55,4172,0.65,0.00018,320,0.8127572016460906,0.8189300411522634,0.8271604938271605,0.36618786347761223,0.35839614186701363,0.28958795851520297
WTA,55,3724,0.59,9e-05,40,0.8343685300207039,0.8302277432712215,0.8530020703933747,0.5053194533061673,0.480814719028672,0.30907604561861535
ATP,60,4172,0.65,0.00018,320,0.8333333333333334,0.8271604938271605,0.8477366255144033,0.34201342220832276,0.33454734505875877,0.29465701821133156
WTA,60,3724,0.65,0.00013,40,0.8405797101449275,0.8364389233954451,0.855072463768116,0.4675436476169436,0.4352414946721634,0.30540269854252117
ATP,65,4172,0.59,0.00013,160,0.8415637860082305,0.8395061728395061,0.8600823045267489,0.34987225509035214,0.34160611556262416,0.2466438467025172
WTA,65,3724,0.65,0.00013,40,0.8488612836438924,0.84472049689441,0.8530020703933747,0.3628686297746663,0.3220298979868033,0.25868101453386505
ATP,70,4172,0.59,0.00013,160,0.845679012345679,0.8497942386831275,0.8683127572016461,0.2996934889324662,0.28674560847895064,0.21267232096805405
WTA,70,3724,0.6,9e-05,40,0.8633540372670807,0.8509316770186336,0.8612836438923396,0.4161978938190503,0.37603076401142627,0.23019692811177034
ATP,75,4172,0.64,0.00018,80,0.8497942386831275,0.8724279835390947,0.8806584362139918,0.31939652935854285,0.29876054683288883,0.18623629760410843
WTA,75,3724,0.59,9e-05,40,0.8737060041407867,0.8695652173913043,0.8799171842650103,0.3493982657642599,0.3094680851559227,0.21137414148957326
ATP,80,4172,0.59,0.00013,80,0.8744855967078189,0.8909465020576132,0.8847736625514403,0.3843914325111135,0.3653114426436058,0.18698690028506945
WTA,80,3724,0.59,9e-05,40,0.8944099378881988,0.8964803312629399,0.9006211180124224,0.3055900248551413,0.2616440459311724,0.16914630122736649
ATP,85,4172,0.59,0.00018,80,0.8806584362139918,0.9135802469135802,0.911522633744856,0.23689882081406047,0.2206970340025423,0.13705493152863887
WTA,85,3724,0.64,0.00013,40,0.9151138716356108,0.9151138716356108,0.9151138716356108,0.2590090619116388,0.21653750338140537,0.13426257406320877
ATP,90,4172,0.65,0.00022,80,0.9218106995884774,0.9526748971193416,0.948559670781893,0.16849720090928283,0.15820692489107333,0.08532450427466282
WTA,90,3724,0.65,0.00013,40,0.9648033126293996,0.9606625258799172,0.9585921325051759,0.19337401651962513,0.16084103495500057,0.12101641758765691
ATP,95,4172,0.65,0.00022,80,0.9506172839506173,0.9670781893004116,0.9609053497942387,0.13171071057428477,0.12691136399927344,0.06885120725971934
WTA,95,3724,0.65,0.00013,40,0.968944099378882,0.9772256728778468,0.9751552795031055,0.13189542521126368,0.10740355146973847,0.0580958099144523
ATP,100,4172,0.59,4e-05,40,1.0,1.0,1.0,1.000000500029089e-06,1.000000500029089e-06,0.00014604870624732722
WTA,100,3724,0.59,4e-05,40,1.0,1.0,1.0,1.000000500029089e-06,1.000000500029089e-06,0.00016387924240044845
